city_url,page_num,name,address,city,state_abbr,zip,services,price,rating,verified,best_of,url
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Valparaiso Senior Village,74 East Journey Way,Valparaiso,IN,46283,"Assisted Living , Memory Care","$3,200/mo",9.9,Yes,No,https://www.seniorly.com/assisted-living/indiana/valparaiso/valparaiso-senior-village
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Brookdale Valparaiso,2601 Valparaiso Street,Valparaiso,IN,46383,Assisted Living,"$3,160/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/indiana/valparaiso/brookdale-valparaiso-assisted-living
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Aviva Valparaiso,1300 Vale Park Road,Valparaiso,IN,46383,"Assisted Living , Memory Care , Independent Living","$5,100/mo",,No,No,https://www.seniorly.com/assisted-living/indiana/valparaiso/rittenhouse-village-at-valparaiso
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Valparaiso Care & Rehabilitation,606 Wall Street,Valparaiso,IN,46383,"Assisted Living , Memory Care , Skilled Nursing Facility","$5,200/mo",8.6,No,No,https://www.seniorly.com/assisted-living/indiana/valparaiso/valparaiso-care-rehabilitation
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Brentwood at Hobart,1420 Saint Mary’s Circle,Hobart,IN,46342,"Assisted Living , Memory Care","$5,100/mo",9.8,Yes,No,https://www.seniorly.com/assisted-living/indiana/hobart/brentwood-at-hobart
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Windward Pointe Portage,6235 Sterling Creek Road,Portage,IN,46368,"Assisted Living , Memory Care , Independent Living","$5,000/mo",9.7,Yes,No,https://www.seniorly.com/assisted-living/indiana/portage/windward-pointe-portage
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Avalon Springs Health Campus,2400 Silhavy Road,Valparaiso,IN,46383,"Assisted Living , Memory Care , Skilled Nursing Facility","$3,514/mo",7.3,No,No,https://www.seniorly.com/assisted-living/indiana/valparaiso/avalon-springs-health-campus
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Green Oaks of Valparaiso,2550 West Morthland Drive,Valparaiso,IN,46383,Assisted Living,"$5,700/mo",,No,No,https://www.seniorly.com/assisted-living/indiana/valparaiso/green-oaks-of-valparaiso-assisted-living-facility
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Wyndmoor of Portage,3444 Swanson Road,Portage,IN,46368,Assisted Living,"$5,000/mo",9.6,No,No,https://www.seniorly.com/assisted-living/indiana/portage/wyndmoor-of-portage
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,StoryPoint Chesterton,700 Dickinson Road,Chesterton,IN,46304,"Assisted Living , Independent Living","$2,995/mo",9.3,No,No,https://www.seniorly.com/assisted-living/indiana/chesterton/storypoint-chesterton
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Life Care Center of the Willows,1000 Elizabeth Drive,Valparaiso,IN,46383,"Assisted Living , Skilled Nursing Facility","$5,700/mo",3.8,No,No,https://www.seniorly.com/assisted-living/indiana/valparaiso/life-care-center-of-the-willows
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Life Care Center of Valparaiso,3405 North Campbell Road,Valparaiso,IN,46385,"Assisted Living , Skilled Nursing Facility","$5,700/mo",3.8,No,No,https://www.seniorly.com/assisted-living/indiana/valparaiso/life-care-center-of-valparaiso
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Brickyard Healthcare - Valparaiso Care Center,251 Sturdy Road,Valparaiso,IN,46383,"Assisted Living , Skilled Nursing Facility","$5,700/mo",3.8,No,No,https://www.seniorly.com/assisted-living/indiana/valparaiso/golden-living-center-valparaiso
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Miller's Merry Manor,5909 Lute Road,Portage,IN,46368,"Assisted Living , Skilled Nursing Facility","$5,000/mo",5.2,No,No,https://www.seniorly.com/assisted-living/indiana/portage/miller-s-merry-manor-x
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Chesterton Manor,110 Beverly Drive,Chesterton,IN,46304,"Assisted Living , Skilled Nursing Facility","$5,000/mo",4.5,No,No,https://www.seniorly.com/assisted-living/indiana/chesterton/chesterton-manor
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Residences at Coffee Creek,2300 Village Point,Chesterton,IN,46304,"Assisted Living , Memory Care , Independent Living","$3,700/mo",3.8,No,No,https://www.seniorly.com/assisted-living/indiana/chesterton/residences-at-coffee
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Ignite Medical Resort Chesterton,2775 Village Point,Chesterton,IN,46304,"Assisted Living , Skilled Nursing Facility","$5,000/mo",3.8,No,No,https://www.seniorly.com/assisted-living/indiana/chesterton/symphony-of-chesterton
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Brickyard Healthcare - Portage Care Center,3175 Lancer Street,Portage,IN,46368,"Assisted Living , Skilled Nursing Facility","$5,000/mo",3.8,No,No,https://www.seniorly.com/assisted-living/indiana/portage/golden-living-center-fountainview-place
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,Addison Pointe Health & Rehabilitation Center,780 Dickinson Road,Chesterton,IN,46304,"Assisted Living , Skilled Nursing Facility","$5,000/mo",3.8,No,No,https://www.seniorly.com/assisted-living/indiana/chesterton/addison-pointe-health-rehabilitation-center
https://www.seniorly.com/assisted-living/indiana/valparaiso,1,With Open Arms Residential Care,2899 Christy Street,Portage,IN,46368,"Assisted Living , Board and Care Home","$3,700/mo",4.5,No,No,https://www.seniorly.com/assisted-living/indiana/portage/with-open-arms-residential-care
